Job Title,Key Skills,Functional Area
 Sr Structural Engineer, Senior Design Engineer| Engineering Design| SACS,"Engineering Design , R&D"
 IT Security Head , C| Python| Six Sigma| PMP| .NET| HTML| JavaScript| SQL| Oracle| assembly language| Real Time Operating Systems,"IT Software - Network Administration , Security"
 Technical Support Executive, Technical Support Executive| Electrical engineering,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Analyst - Business Intelligence, Data analysis| Automation| Google Analytics| Excel| Analytical| Business intelligence| Analytics| Product marketing| SQL| Data extraction,"IT Software - Application Programming , Maintenance"
Nokia WING Circuit Core - SMSC Engineer,Detail Design|Juniper|SMSC Engineer|Routing|IP Networking|Network Elements|Network Troubleshooting|High Level Design|Data Center|Switching,"IT Software - Network Administration , Security"
 Assistant Restaurant Manager / Restaurant Manager, assistant restaurant manager| restaurant| restaurant manager,"Hotels , Restaurants"
 Digital / Web Artist, layout| visualization| digital media| graphic design| html| illustration| tools| part time,"Design , Creative , User Experience"
 Business Development Manager, selling| accounts| events| prospecting| business operations| ideas| coordinating| tracking| closing| maintaining,"Sales , Retail , Business Development"
 Web/ GUI Designer, photoshop| illustrator| seo| jquery| fireworks| css3| gui| usability| development| static,"Design , Creative , User Experience"
" Web Designer - Html, CSS, Bootstrap, Photoshop", Photoshop| HTML| Wordpress| CSS3| bootstrap| Web technologies| html5| CSS,"IT Software - eCommerce , Internet Technologies"
 Python Developer, Python,"IT Software - Application Programming , Maintenance"
 Web Designer, server| multimedia| troubleshooting| graphics| audio| monitoring| javascript| jquery| user interface| css3,"IT Software - eCommerce , Internet Technologies"
 AVP- FX MO, Senior management| MIS reporting| Building| Training| Management| Risk| Vice President| Focus| Trade| Associate Vice President,"Financial Services , Banking , Investments , Insurance"
 Cluster Sales Head - Tied Channel & Affinity Alliances - Health Insura, Sales Head| Tied Channel| Sales| Business Growth| Profitability| Business Operations| New Business| Alliances,"Sales , Retail , Business Development"
 Head - Project Management, Project Management,"Production , Manufacturing , Maintenance"
 Walk- In For Development QA/ Regulatory Affairs, QA| Life Sciences| development quality assurance| Life Cycle| Regulatory Affairs| DQA| QMS| Dmf,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology"
 Manager Accounts-wazirpur-mba-finance-salary-35k(export House exp), accounting| finance| financial reporting| statutory compliance| gst| vat,"Accounts , Finance , Tax , Company Secretary , Audit"
 Team Leader- Head Digital Prtnrshp & BD, Data analysis| Consumer research| Management| Head Business Development,"Sales , Retail , Business Development"
 DWH Tester - Manual Testing, Testing| Quality| Manual Testing| ETL| BI| DW| Datawarehouse Testing,IT Software - QA & Testing
 Quality Assurance Engineer, assembly language| Six Sigma| PMP| C| JavaScript| .NET| HTML| Oracle| Python| SQL,"IT Software - Application Programming , Maintenance"
 Technical / Functional Skills, Product management| Business process| Linkedin| Automation| CV| Email| GIT| Technical| SDLC| Ideas,"Sales , Retail , Business Development"
 Software Development / Software Engineer, ajax| javascript| php| erp| website| development| software development| module| mca| application development| application| web| programming,"IT Software - Application Programming , Maintenance"
 Inbound Phone Banking Voice Process - Leading Bank - Noida, customer service| customer care| team| communication| bpo| call center| inbound| voice| backend| non voice| telecalling| cse| cro| cce| data entry| back office| voice process| domestic bpo| fresher| trainee| Telemarketing| Outbound| sales| hardware| networking,"ITES , BPO , KPO , LPO , Customer Service , Operations"
Java Enterprise Edition,Oracle|Core Java|Business process|Outsourcing|Operations|spring integration|J2Ee|Spring framework|JEE|Manager Technology,"IT Software - Application Programming , Maintenance"
 Associate Clinical Data Processor, MS Office| Data entry,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 CRM, Customer relationship| Automobile| Proposal preparation| CRM strategy| Architecture| Database| Testing,"Sales , Retail , Business Development"
 Magento Developer, Unix| Version control| Prototype| XML| MySQL| PHP| JSON| MVC| Ajax| CSS3,IT Software - System Programming
